# Generated by AstrophysicsAugmentationPipeline
# Export date: 2025-12-26T18:39:56.069046
#
P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED
0.6,0.0,0.0,0.167,0.2,0.033,0.167,0.558,0.205
0.195,0.268,0.024,0.366,0.024,0.12200000000000001,0.659,0.029,0.799
0.608,0.02,0.0,0.098,0.176,0.098,0.118,0.577,0.145
0.24,0.4,0.0,0.0,0.04,0.32,0.4,0.24,0.4
0.203,0.547,0.016,0.172,0.062,0.0,0.734,0.04,0.887
0.125,0.042,0.0,0.833,0.0,0.0,0.875,0.047,0.953
0.81,0.0,0.0,0.024,0.143,0.024,0.024,0.783,0.046
0.875,0.0,0.0,0.062,0.062,0.0,0.062,0.819,0.115
0.9,0.05,0.0,0.0,0.05,0.0,0.05,0.721,0.199
0.094,0.031,0.0,0.062,0.219,0.48399999999999993,0.094,0.077,0.1
0.833,0.0,0.0,0.0,0.167,0.0,0.0,0.833,0.0
0.423,0.077,0.0,0.269,0.11499999999999999,0.115,0.346,0.102,0.56
0.12,0.84,0.0,0.04,0.0,0.0,0.88,0.039,0.961
0.148,0.0,0.074,0.111,0.11099999999999999,0.48399999999999993,0.185,0.084,0.21
0.939,0.0,0.0,0.061,0.0,0.0,0.061,0.867,0.133
0.364,0.0,0.091,0.152,0.18200000000000002,0.212,0.242,0.24199999999999997,0.321
0.161,0.0,0.79,0.048,0.0,0.0,0.839,0.084,0.916
0.812,0.0,0.031,0.062,0.094,0.0,0.094,0.8,0.106
0.579,0.158,0.0,0.105,0.158,0.0,0.263,0.255,0.506
0.828,0.034,0.0,0.103,0.034,0.0,0.138,0.828,0.138
0.268,0.018,0.518,0.125,0.054,0.018,0.661,0.268,0.661
0.808,0.0,0.115,0.077,0.0,0.0,0.192,0.672,0.328
0.467,0.033,0.067,0.233,0.133,0.067,0.333,0.349,0.436
0.767,0.0,0.15,0.05,0.0,0.033,0.2,0.66,0.304
0.0,0.9329999999999999,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.842,0.018,0.0,0.018,0.12300000000000001,0.0,0.035,0.832,0.044
0.667,0.017,0.1,0.167,0.05,0.0,0.283,0.214,0.688
0.935,0.0,0.0,0.032,0.032,0.0,0.032,0.919,0.048
0.875,0.031,0.062,0.0,0.031,0.0,0.094,0.875,0.094
0.098,0.377,0.246,0.262,0.016,0.0,0.885,0.054,0.929
